Quarter,Title,Course,Section,Program,Faculty,Schedule,Capacity,Building,Location
Spring 2025,Application Development,36110,81,Evening MBA,Raghu Betina,"Tuesday, 6:00 PM - 9:00 PM",12/30,Gleacher Center,304
Autumn 2024,Marketing Strategy,37000,3,Full-Time MBA,Avner Strulov-Shlain,"Thursday, 1:30 PM - 4:30 PM",42/65,Harper Center,C03
Autumn 2024,Marketing Strategy,37000,1,Full-Time MBA,Avner Strulov-Shlain,"Wednesday, 1:30 PM - 4:30 PM",56/65,Harper Center,C03
Autumn 2024,Marketing Strategy,37000,2,Full-Time MBA,Avner Strulov-Shlain,"Thursday, 8:30 AM - 11:30 AM",32/65,Harper Center,C03
Autumn 2024,Marketing Strategy,37000,4,Full-Time MBA,Andreas Kraft,"Wednesday, 8:30 AM - 11:30 AM",61/65,Harper Center,C03
Autumn 2024,Marketing Strategy,37000,81,Evening MBA,Andreas Kraft,"Wednesday, 6:00 PM - 9:00 PM",16/65,Gleacher Center,206
Winter 2025,Marketing Strategy,37000,2,Full-Time MBA,Beidi Hu,"Wednesday, 1:30 PM - 4:30 PM",56/65,Harper Center,C04
Winter 2025,Marketing Strategy,37000,1,Full-Time MBA,Beidi Hu,"Wednesday, 8:30 AM - 11:30 AM",50/65,Harper Center,C04
Spring 2025,Marketing Strategy,37000,1,Full-Time MBA,Berkeley Dietvorst,"Wednesday, 8:30 AM - 11:30 AM",44/65,Harper Center,C05
Summer 2025,Marketing Strategy,37000,85,Weekend MBA,Sanjay Dhar,"Saturday, 1:30 PM - 4:30 PM",0/65,Gleacher Center,406
Summer 2025,Marketing Strategy,37000,81,Evening MBA,Sanjay Dhar,"Wednesday, 6:00 PM - 9:00 PM",0/65,Gleacher Center,406
Autumn 2024,Operations Management: Business Process Fundamentals,40000,81,Evening MBA,Rene Caldentey,"Thursday, 6:00 PM - 9:00 PM",40/65,Gleacher Center,404
Autumn 2024,Operations Management: Business Process Fundamentals,40000,1,Full-Time MBA,Rene Caldentey,"Thursday, 8:30 AM - 11:30 AM",50/65,Harper Center,C25
Winter 2025,Operations Management: Business Process Fundamentals,40000,2,Full-Time MBA,Linwei Xin,"Thursday, 1:30 PM - 4:30 PM",60/65,Harper Center,C09
Winter 2025,Operations Management: Business Process Fundamentals,40000,1,Full-Time MBA,Linwei Xin,"Thursday, 8:30 AM - 11:30 AM",59/65,Harper Center,C09
Summer 2025,Operations Management: Business Process Fundamentals,40000,85,Weekend MBA,Sergio Chayet,"Saturday, 1:30 PM - 4:30 PM",0/65,Gleacher Center,404
Summer 2025,Operations Management: Business Process Fundamentals,40000,81,Evening MBA,Sergio Chayet,"Friday, 6:00 PM - 9:00 PM",0/65,Gleacher Center,404
Summer 2025,Project Management,40111,85,Weekend MBA,Sergio Chayet,"Saturday, 9:00 AM - 12:00 PM",0/65,Gleacher Center,404
Autumn 2024,Business Statistics,41000,3,Full-Time MBA,Nicholas Polson,"Wednesday, 8:30 AM - 11:30 AM",63/65,Harper Center,C01
Autumn 2024,Business Statistics,41000,1,Full-Time MBA,Tetsuya Kaji,"Monday, 1:30 PM - 4:30 PM",65/65,Harper Center,C04
Autumn 2024,Business Statistics,41000,2,Full-Time MBA,Tetsuya Kaji,"Monday, 5:00 PM - 8:00 PM",65/65,Harper Center,C04
Autumn 2024,Business Statistics,41000,81,Evening MBA,Bryon Aragam,"Wednesday, 6:00 PM - 9:00 PM",54/65,,
Autumn 2024,Business Statistics,41000,85,Weekend MBA,Nicholas Polson,"Saturday, 9:00 AM - 12:00 PM",16/65,Gleacher Center,306
Winter 2025,Business Statistics,41000,85,Weekend MBA,Nabarun Deb,"Saturday, 1:30 PM - 4:30 PM",24/65,Gleacher Center,304
Winter 2025,Business Statistics,41000,81,Evening MBA,Sid Kankanala,"Tuesday, 6:00 PM - 9:00 PM",60/65,Gleacher Center,408
Winter 2025,Business Statistics,41000,1,Full-Time MBA,Nabarun Deb,"Tuesday, 1:30 PM - 4:30 PM",64/65,Harper Center,C01
Winter 2025,Business Statistics,41000,2,Full-Time MBA,Tengyuan Liang,"Thursday, 8:30 AM - 11:30 AM",47/65,Harper Center,C01
Winter 2025,Business Statistics,41000,3,Full-Time MBA,Sid Kankanala,"Monday, 1:30 PM - 4:30 PM",56/65,Harper Center,C04
Spring 2025,Business Statistics,41000,85,Weekend MBA,Shuangning Li,"Saturday, 9:00 AM - 12:00 PM",17/65,Gleacher Center,406
Spring 2025,Business Statistics,41000,81,Evening MBA,Shuangning Li,"Wednesday, 6:00 PM - 9:00 PM",24/65,Gleacher Center,406
Autumn 2024,Competitive Strategy,42001,1,Full-Time MBA,Thomas Wollmann,"Tuesday, 1:30 PM - 4:30 PM",63/65,Harper Center,C06
Autumn 2024,Competitive Strategy,42001,82,Evening MBA,Thomas Covert,"Wednesday, 6:00 PM - 9:00 PM",17/65,Gleacher Center,406
Autumn 2024,Competitive Strategy,42001,81,Evening MBA,Thomas Wollmann,"Tuesday, 6:00 PM - 9:00 PM",64/65,Gleacher Center,406
Autumn 2024,Competitive Strategy,42001,3,Full-Time MBA,Kathleen Fitzgerald,"Monday, 5:00 PM - 8:00 PM",35/65,Harper Center,C02
Autumn 2024,Competitive Strategy,42001,4,Full-Time MBA,Kathleen Fitzgerald,"Tuesday, 8:30 AM - 11:30 AM",58/65,Harper Center,C02
Autumn 2024,Competitive Strategy,42001,2,Full-Time MBA,Thomas Wollmann,"Wednesday, 8:30 AM - 11:30 AM",64/65,Harper Center,C06
Autumn 2024,Competitive Strategy,42001,85,Weekend MBA,Thomas Covert,"Saturday, 1:30 PM - 4:30 PM",36/65,Gleacher Center,208
Winter 2025,Competitive Strategy,42001,81,Evening MBA,Milena Almagro,"Thursday, 6:00 PM - 9:00 PM",22/65,Gleacher Center,204
Winter 2025,Competitive Strategy,42001,1,Full-Time MBA,Anders Humlum,"Thursday, 8:30 AM - 11:30 AM",56/65,Harper Center,C04
Winter 2025,Competitive Strategy,42001,2,Full-Time MBA,Anders Humlum,"Thursday, 1:30 PM - 4:30 PM",53/65,Harper Center,C04
Spring 2025,Competitive Strategy,42001,81,Evening MBA,Jacob Leshno,"Monday, 6:00 PM - 9:00 PM",46/65,Gleacher Center,206
Spring 2025,Competitive Strategy,42001,1,Full-Time MBA,Jacob Leshno,"Monday, 1:30 PM - 4:30 PM",48/65,Harper Center,C10
Spring 2025,Competitive Strategy,42001,85,Weekend MBA,Ram Shivakumar,"Saturday, 1:30 PM - 4:30 PM",60/65,Gleacher Center,306
Autumn 2024,International Macroeconomics and Trade,33946,50,PhD,Rodrigo Adao,"Wednesday, 8:30 AM - 11:30 AM",16/22,Harper Center,3SW
Spring 2025,Managing the Workplace,33032,1,Full-Time MBA,Canice Prendergast,"Tuesday, 5:00 PM - 8:00 PM",70/70,Harper Center,C02
Winter 2025,Social Impact Lab,42710,1,Full-Time MBA,Todd Connor and Ghian Foreman,"Monday, 1:30 PM - 4:30 PM",23/30,Harper Center,3B
Spring 2025,Health Economics,33350,1,Full-Time MBA,Matthew Notowidigdo,"Monday, 1:30 PM - 4:30 PM",55/65,Harper Center,C09
Spring 2025,Health Economics,33350,81,Evening MBA,Matthew Notowidigdo,"Monday, 6:00 PM - 9:00 PM",26/65,Gleacher Center,408
Spring 2025,Topics in Labor Economics,33918,50,PhD,Anders Humlum and Jack Mountjoy and Matthew Notowidigdo,"Tuesday, 9:00 AM - 12:00 PM",0/22,Harper Center,3B
Spring 2025,Literature and Leadership,42005,81,Evening MBA,Brian Barry,"Tuesday, 6:00 PM - 9:00 PM",62/65,Gleacher Center,208
Winter 2025,Healthcare Business Analytics,40206,1,Full-Time MBA,Dan Adelman,"Thursday, 2:00 PM - 5:00 PM",26/35,Booth 455,132
Winter 2025,Healthcare Business Analytics,40206,81,Evening MBA,Dan Adelman,"Thursday, 6:00 PM - 9:00 PM",15/35,Booth 455,132
Winter 2025,Strategy Simulation: Creating Value in Complex and Ambiguous Settings,42715,1,Full-Time MBA,Kathleen Fitzgerald,"Wednesday, 8:30 AM - 11:30 AM",55/54,Harper Center,C05
Spring 2025,Perspectives on Capitalism,33250,1,Full-Time MBA,Robert Gertner,"Wednesday, 5:00 PM - 6:30 PM",114/120,Harper Center,C25
Autumn 2024,Workshop: Money and Banking,33630,60,Workshop (course type),Staff Staff,"Wednesday, 3:30 PM - 5:00 PM",7/30,,
Winter 2025,Workshop: Money and Banking,33630,60,Workshop (course type),Staff Staff,"Wednesday, 3:30 PM - 5:00 PM",5/30,,
Spring 2025,Workshop: Money and Banking,33630,60,Workshop (course type),Staff Staff,"Wednesday, 3:30 PM - 5:00 PM",0/30,,
Autumn 2024,Real Estate and Equity: Leveling the Playing Field,31425,81,Evening MBA,Ernst Valery,"Tuesday, 6:00 PM - 9:00 PM",18/65,Gleacher Center,306
Autumn 2024,Culture (And Why It Matters),38126,2,Full-Time MBA,Thomas Talhelm,"Wednesday, 1:30 PM - 4:30 PM",63/65,Harper Center,C10
