Quarter,Title,Course,Section,Program,Faculty,Schedule,Capacity,Building,Location
Spring 2025,Strategies and Processes of Negotiation,38103,81,Evening MBA,Shereen Chaudhry,"Thursday, 6:00 PM - 9:00 PM",12/55,Gleacher Center,406
Winter 2025,Strategies and Processes of Negotiation,38103,81,Evening MBA,Alex Koch,"Monday, 6:00 PM - 9:00 PM",51/55,Gleacher Center,306
Spring 2025,Strategies and Processes of Negotiation,38103,82,Evening MBA,Erika Kirgios,"Tuesday, 6:00 PM - 9:00 PM",45/55,Gleacher Center,204
Winter 2025,Strategies and Processes of Negotiation,38103,85,Weekend MBA,Elena Zinchenko,"Saturday, 9:00 AM - 12:00 PM",49/55,,
Winter 2025,Diversity in Organizations,38122,1,Full-Time MBA,Jane Risen,"Thursday, 8:30 AM - 11:30 AM",20/65,Harper Center,C05
Winter 2025,Diversity in Organizations,38122,81,Evening MBA,Jane Risen,"Thursday, 6:00 PM - 9:00 PM",13/65,Gleacher Center,304
Winter 2025,Diversity in Organizations,38122,2,Full-Time MBA,Jane Risen,"Thursday, 1:30 PM - 4:30 PM",16/65,Harper Center,C05
Autumn 2024,Culture (And Why It Matters),38126,81,Evening MBA,Thomas Talhelm,"Thursday, 6:00 PM - 9:00 PM",29/55,Gleacher Center,408
Autumn 2024,Power and Influence in Organizations,38003,1,Full-Time MBA,A. Nussbaum,"Tuesday, 3:00 PM - 6:00 PM",42/65,Harper Center,C03
Winter 2025,Internal Information for Strategic Decisions,30005,1,Full-Time MBA,Anna Costello,"Monday, 8:30 AM - 11:30 AM",68/70,Harper Center,C03
Winter 2025,Internal Information for Strategic Decisions,30005,2,Full-Time MBA,Anna Costello,"Monday, 1:30 PM - 4:30 PM",65/65,Harper Center,C03
Spring 2025,Internal Information for Strategic Decisions,30005,1,Full-Time MBA,Christopher Stewart,"Tuesday, 8:30 AM - 11:30 AM",70/70,Harper Center,C25
Spring 2025,Internal Information for Strategic Decisions,30005,2,Full-Time MBA,Christopher Stewart,"Tuesday, 1:30 PM - 4:30 PM",70/70,Harper Center,C25
Winter 2025,Internal Information for Strategic Decisions,30005,81,Evening MBA,Anna Costello,"Wednesday, 6:00 PM - 9:00 PM",60/65,Gleacher Center,208
Spring 2025,Internal Information for Strategic Decisions,30005,85,Weekend MBA,Christopher Stewart,"Saturday, 1:30 PM - 4:30 PM",29/65,Gleacher Center,404
Spring 2025,Portfolio Management,35120,81,Evening MBA,Lubos Pastor,"Monday, 6:00 PM - 9:00 PM",64/65,Gleacher Center,308
Winter 2025,The Study of Behavioral Economics,38120,81,Evening MBA,Devin Pope,"Wednesday, 6:00 PM - 9:00 PM",70/70,Gleacher Center,206
Winter 2025,Business in Historical Perspective,33112,81,Evening MBA,Richard Hornbeck,"Monday, 6:00 PM - 9:00 PM",65/65,Gleacher Center,304
Winter 2025,Advanced Investments,35150,81,Evening MBA,Stefan Nagel,"Wednesday, 6:00 PM - 9:00 PM",12/65,Gleacher Center,406
Spring 2025,Advanced Financial Analysis and Valuation for Global Firms,30131,1,Full-Time MBA,Thomas Rauter,"Thursday, 8:30 AM - 11:30 AM",70/70,Harper Center,C07
Winter 2025,Macroeconomics and the Business Environment,33050,2,Full-Time MBA,Joseph Vavra,"Tuesday, 8:30 AM - 11:30 AM",58/65,Harper Center,C04
Winter 2025,Macroeconomics and the Business Environment,33050,81,Evening MBA,Joseph Vavra,"Monday, 6:00 PM - 9:00 PM",59/65,Gleacher Center,408
Winter 2025,New Venture Strategy,34102,81,Evening MBA,James Schrager,"Thursday, 6:00 PM - 9:00 PM",46/65,,
Spring 2025,New Venture Strategy,34102,2,Full-Time MBA,Jeremie Bacon,"Wednesday, 5:00 PM - 8:00 PM",15/65,Harper Center,C04
Winter 2025,The Political Economy of Climate Change,42129,81,Evening MBA,Chris Wheat,"Thursday, 6:00 PM - 9:00 PM",37/65,Gleacher Center,206
Winter 2025,"Business, Politics, and Ethics",33471,85,Weekend MBA,Brian Barry,"Saturday, 9:00 AM - 12:00 PM",31/42,Gleacher Center,404
Winter 2025,"Business, Politics, and Ethics",33471,3,Full-Time MBA,Brian Barry,"Wednesday, 8:30 AM - 11:30 AM",40/42,Harper Center,C07
Spring 2025,Machine Learning,41204,1,Full-Time MBA,Christian Hansen and Damian Kozbur,"Wednesday, 1:30 PM - 4:30 PM",65/65,Harper Center,C02
Spring 2025,Machine Learning,41204,81,Evening MBA,Christian Hansen and Damian Kozbur,"Wednesday, 6:00 PM - 9:00 PM",32/65,Gleacher Center,404
Winter 2025,Big Data,41201,1,Full-Time MBA,Veronika Rockova,"Tuesday, 1:30 PM - 4:30 PM",42/65,Harper Center,C09
Winter 2025,Big Data,41201,2,Full-Time MBA,Veronika Rockova,"Tuesday, 5:00 PM - 8:00 PM",24/65,Harper Center,C09
Autumn 2024,Business Statistics,41000,4,Full-Time MBA,Bryon Aragam,"Thursday, 8:30 AM - 11:30 AM",65/65,Harper Center,C06
Autumn 2024,Business Statistics,41000,5,Full-Time MBA,Bryon Aragam,"Friday, 8:30 AM - 11:30 AM",63/65,Harper Center,C06
Autumn 2024,Business Statistics,41000,6,Master in Management,Jeffrey Russell,"Monday, 8:30 AM - 11:30 AM Wednesday, 8:30 AM - 11:30 AM Friday, 8:30 AM - 11:30 AM",58/65,Gleacher Center,204
Autumn 2024,Business Statistics,41000,7,Master in Management,Jeffrey Russell,"Monday, 1:30 PM - 4:30 PM Wednesday, 1:30 PM - 4:30 PM Friday, 1:30 PM - 4:30 PM",57/65,Gleacher Center,204
Autumn 2024,Financial Analytics,41210,1,Master in Finance,Dacheng Xiu,"Monday, 8:30 AM - 11:30 AM Wednesday, 8:30 AM - 11:30 AM Friday, 8:30 AM - 11:30 AM",59/65,Gleacher Center,206
Autumn 2024,Financial Analytics,41210,2,Master in Finance,Dacheng Xiu,"Monday, 1:30 PM - 4:30 PM Wednesday, 1:30 PM - 4:30 PM Friday, 1:30 PM - 4:30 PM",57/65,Gleacher Center,206
Spring 2025,The Firm and the Non-Market Environment,33305,85,Weekend MBA,Marianne Bertrand,"Saturday, 9:00 AM - 12:00 PM",53/65,Gleacher Center,308
Autumn 2024,Microeconomics,33001,8,Master in Management,Andrew McClellan,"Thursday, 8:30 AM - 11:30 AM",58/65,Gleacher Center,206
Autumn 2024,Microeconomics,33001,9,Master in Management,Andrew McClellan,"Thursday, 1:30 PM - 4:30 PM",57/65,Gleacher Center,206
Spring 2025,Managing the Workplace,33032,2,Full-Time MBA,Canice Prendergast,"Tuesday, 8:30 AM - 11:30 AM",70/70,Harper Center,C02
Spring 2025,Operations Management: Business Process Fundamentals,40000,81,Evening MBA,Yuan Zhong,"Wednesday, 6:00 PM - 9:00 PM",25/65,Gleacher Center,206
Autumn 2024,Managerial Decision Modeling,36106,3,Master in Management,Rad Niazadeh,"Thursday, 5:00 PM - 8:00 PM",44/45,Gleacher Center,206
Autumn 2024,Managerial Decision Modeling,36106,4,Master in Management,Rad Niazadeh,"Friday, 8:30 AM - 11:30 AM",39/45,Gleacher Center,206
Winter 2025,Managing in Organizations,38001,85,Weekend MBA,Alexander Todorov,"Saturday, 9:00 AM - 12:00 PM",39/65,Gleacher Center,208
Autumn 2024,Microeconomics,33001,7,Full-Time MBA,Andrew McClellan,"Tuesday, 8:30 AM - 11:30 AM",64/65,Harper Center,C04
Spring 2025,Economic Modeling of Accounting Issues,30901,50,PhD,Haresh Sapra,"Tuesday, 8:30 AM - 11:30 AM",6/22,Harper Center,C08
Winter 2025,Corporate Social Responsibility and Policy Assessment,30905,50,PhD,Hans Christensen,"Wednesday, 3:00 PM - 6:00 PM",6/20,Harper Center,3B
Spring 2025,Financial Statement Analysis,30130,81,Evening MBA,John Hand,"Thursday, 6:00 PM - 9:00 PM",57/65,Gleacher Center,304
Autumn 2024,Power and Influence in Organizations,38003,2,Full-Time MBA,A. Nussbaum,"Wednesday, 1:30 PM - 4:30 PM",64/65,Harper Center,C07
Winter 2025,Applied Microeconomics in Economic History,33917,50,PhD,Richard Hornbeck,"Friday, 9:00 AM - 12:00 PM",8/35,Harper Center,3B
Winter 2025,Causal Inference for Business Applications,41207,1,Full-Time MBA,Panagiotis Toulis (Panos),"Wednesday, 5:00 PM - 8:00 PM",28/65,Harper Center,C04
Winter 2025,International Corporate Finance,35210,1,Full-Time MBA,Raghuram Rajan,"Thursday, 8:30 AM - 11:30 AM",57/65,Harper Center,C07
Autumn 2024,"Reputation, Regulation and Communications – How Media Influences Business",42123,1,Full-Time MBA,Guy Rolnik,"Tuesday, 1:30 PM - 4:30 PM",48/65,Harper Center,C25
Autumn 2024,"Reputation, Regulation and Communications – How Media Influences Business",42123,81,Evening MBA,Guy Rolnik,"Tuesday, 6:00 PM - 9:00 PM",26/65,Gleacher Center,400
Autumn 2024,"Reputation, Regulation and Communications – How Media Influences Business - Lab",42705,1,Full-Time MBA,Guy Rolnik,"Wednesday, 3:00 PM - 6:00 PM",10/35,Harper Center,3B
Winter 2025,Generative Thinking,32210,1,Full-Time MBA,Sanjog Misra,"Wednesday, 8:30 AM - 11:30 AM",65/65,Harper Center,C08
Spring 2025,Machine Learning in Finance,35137,1,Full-Time MBA,Leland Bybee,"Monday, 8:30 AM - 11:30 AM",43/65,Harper Center,C07
Spring 2025,Machine Learning in Finance,35137,81,Evening MBA,Leland Bybee,"Monday, 6:00 PM - 9:00 PM",20/65,Gleacher Center,406
Winter 2025,Data-Driven Marketing,37103,1,Full-Time MBA,Guenter Hitsch,"Wednesday, 1:30 PM - 4:30 PM",49/65,Harper Center,C02
Winter 2025,Data-Driven Marketing,37103,81,Evening MBA,Guenter Hitsch,"Wednesday, 6:00 PM - 9:00 PM",31/65,Gleacher Center,304
Winter 2025,Managerial Psychology,38000,1,Master in Management,Linda Ginzel,"Wednesday, 8:30 AM - 11:30 AM",59/65,Gleacher Center,204
Winter 2025,Managerial Psychology,38000,2,Master in Management,Linda Ginzel,"Wednesday, 1:30 PM - 4:30 PM",57/65,Gleacher Center,204
Autumn 2024,Foundations of Judgment and Decision Making,38913,50,PhD,Reid Hastie and George Wu,"Wednesday, 1:30 PM - 4:30 PM",13/19,Harper Center,3A
Spring 2025,Building the New Venture,34103,81,Evening MBA,Jennifer Fried,"Thursday, 6:00 PM - 9:00 PM",10/45,Gleacher Center,306
Winter 2025,Building the New Venture,34103,85,Weekend MBA,Samir Mayekar,"Saturday, 1:30 PM - 4:30 PM",36/45,Gleacher Center,404
Winter 2025,Money and Banking,33401,1,Full-Time MBA,Kilian Huber,"Tuesday, 10:10 AM - 11:30 AM Thursday, 10:10 AM - 11:30 AM",49/65,Harper Center,C08
Winter 2025,Money and Banking,33401,2,Full-Time MBA,Kilian Huber,"Tuesday, 1:30 PM - 4:30 PM",63/65,Harper Center,C08
Winter 2025,Money and Banking,33401,81,Evening MBA,Kilian Huber,"Tuesday, 6:00 PM - 9:00 PM",64/65,,
Autumn 2024,Cognitive Underpinnings of Decisions,37909,50,PhD,Daniel Bartels,"Tuesday, 1:00 PM - 2:00 PM",8/65,Harper Center,C50A
Winter 2025,Stochastic Optimization,36912,50,PhD,John Birge,"Friday, 8:30 AM - 11:30 AM",5/22,Harper Center,3SW
Autumn 2024,Technology Strategy,39101,1,Full-Time MBA,Marc Knez,"Monday, 8:30 AM - 11:30 AM",59/65,Harper Center,C04
Autumn 2024,The Wealth of Nations,33520,85,Weekend MBA,Chang-Tai Hsieh,"Saturday, 1:30 PM - 4:30 PM",59/65,,
Winter 2025,Marketing Strategy,37000,85,Weekend MBA,Christopher Krohn,"Saturday, 9:00 AM - 12:00 PM",52/65,Gleacher Center,204
Spring 2025,Revenue Management,40108,85,Weekend MBA,Rene Caldentey,"Saturday, 1:30 PM - 4:30 PM",45/65,Gleacher Center,208
Autumn 2024,Queueing Models for Service Operations Management,40911,50,PhD,Amy Ward,"Monday, 1:30 PM - 2:50 PM",6/20,Harper Center,3A
Winter 2025,AI and Financial Information,30135,1,Full-Time MBA,Bradford Levy,"Thursday, 8:30 AM - 11:30 AM",57/65,Harper Center,C03
Winter 2025,International Corporate Finance,35210,85,Weekend MBA,Raghuram Rajan,"Saturday, 9:00 AM - 12:00 PM",40/65,Gleacher Center,304
Autumn 2024,Game Theory,42116,1,Full-Time MBA,Emir Kamenica,"Monday, 1:30 PM - 4:30 PM",65/65,Harper Center,C10
Autumn 2024,Game Theory,42116,81,Evening MBA,Emir Kamenica,"Monday, 6:00 PM - 9:00 PM",61/65,Gleacher Center,406
Autumn 2024,Marketing Strategy (with Sustainability Simulation),37110,1,Full-Time MBA,Pradeep Chintagunta,"Monday, 8:30 AM - 11:30 AM",56/65,Harper Center,C10
Autumn 2024,Foundations of Advanced Quantitative Marketing,37902,50,PhD,Pradeep Chintagunta,"Monday, 5:00 PM - 8:00 PM",7/20,Harper Center,3A
Winter 2025,Marketing Literature Seminar,37905,50,PhD,Pradeep Chintagunta and Kristin Donnelly,"Wednesday, 9:30 AM - 12:30 PM",13/20,Harper Center,3SW
Autumn 2024,Investments,35000,3,Full-Time MBA,Ian Dew-Becker,"Monday, 8:30 AM - 11:30 AM",50/65,Harper Center,C02
Winter 2025,Supply Chain Strategy and Practice,40101,81,Evening MBA,Levi DeValve,"Tuesday, 6:00 PM - 9:00 PM",64/65,,
Winter 2025,Managing Service Operations,40110,1,Full-Time MBA,Amy Ward,"Thursday, 1:30 PM - 4:30 PM",44/45,Harper Center,C08
Winter 2025,Managing Service Operations,40110,81,Evening MBA,Amy Ward,"Thursday, 6:00 PM - 9:00 PM",36/45,Gleacher Center,404
Spring 2025,Entrepreneurship through Acquisition,34302,1,Full-Time MBA,Catherine Littell and Anthony Walker,"Tuesday, 1:30 PM - 4:30 PM",65/65,Harper Center,C01
Spring 2025,Managerial Decision Making,38002,1,Full-Time MBA,Reid Hastie,"Thursday, 8:30 AM - 11:30 AM",40/65,Harper Center,C01
Spring 2025,Managerial Decision Making,38002,81,Evening MBA,Reid Hastie,"Tuesday, 6:00 PM - 9:00 PM",29/65,Gleacher Center,308
Spring 2025,Adv Mktg Theory:  Behavioral Science Approach,37903,50,PhD,Abigail Sussman,"Wednesday, 3:00 PM - 6:00 PM",5/22,Harper Center,3A
Winter 2025,Brand Management in a Digital Age,37209,85,Weekend MBA,Tom Hafen,"Saturday, 1:30 PM - 4:30 PM",48/65,Gleacher Center,408
Spring 2025,Brand Management in a Digital Age,37209,81,Evening MBA,Tom Hafen,"Monday, 6:00 PM - 9:00 PM",63/65,,
Winter 2025,Current Topics in Behavioral Science I,38901,50,PhD,Ayelet Fishbach and Joshua Jackson,"Tuesday, 1:30 PM - 4:30 PM",9/20,Harper Center,3A
Spring 2025,Current Topics in Behavioral Science II,38902,50,PhD,Ed O'Brien and Jane Risen,"Wednesday, 8:30 AM - 11:30 AM",6/19,Harper Center,3SW
Winter 2025,A Course In Experimental Economics,38922,50,PhD,John List,"Thursday, 8:30 AM - 11:20 AM",19/30,,
Winter 2025,Microeconomics,33001,85,Weekend MBA,Rebecca Dizon-Ross,"Saturday, 9:00 AM - 12:00 PM",55/65,Gleacher Center,408
Winter 2025,Brand Management in a Digital Age,37209,1,Full-Time MBA,Tom Hafen,"Monday, 5:00 PM - 8:00 PM",69/70,Harper Center,C10
Winter 2025,Hacking For Defense,34715,1,Full-Time MBA,Will Gossin and Todd Henderson,"Friday, 1:30 PM - 4:30 PM",32/36,Harper Center,C03
Winter 2025,Strategy Simulation: Creating Value in Complex and Ambiguous Settings,42715,85,Weekend MBA,Kathleen Fitzgerald,"Saturday, 9:00 AM - 12:00 PM",37/54,Gleacher Center,206
Autumn 2024,Healthcare Data for Researchers,40912,50,PhD,Dan Adelman,"Wednesday, 8:30 AM - 11:30 AM",7/20,Harper Center,3A
Spring 2025,Cases in Financial Management,35201,81,Evening MBA,Joshua Pierce,"Tuesday, 6:00 PM - 9:00 PM",55/65,,
Winter 2025,Cases in Financial Management,35201,1,Full-Time MBA,Joshua Pierce,"Tuesday, 1:30 PM - 4:30 PM",19/65,Harper Center,C10
Spring 2025,International Commercial Policy,33501,1,Full-Time MBA,Rodrigo Adao,"Tuesday, 1:30 PM - 2:50 PM Thursday, 1:30 PM - 2:50 PM",25/65,Harper Center,C09
Winter 2025,Impact Investing,34113,81,Evening MBA,Priya Parrish,"Thursday, 6:00 PM - 9:00 PM",29/65,Gleacher Center,406
Winter 2025,Impact Investing,34113,1,Full-Time MBA,Priya Parrish,"Thursday, 1:30 PM - 4:30 PM",62/65,Harper Center,C10
Winter 2025,Supply Chain Strategy and Practice,40101,2,Full-Time MBA,Levi DeValve,"Wednesday, 8:30 AM - 11:30 AM",66/70,Harper Center,C09
Winter 2025,Big Data,41201,85,Weekend MBA,Veronika Rockova,"Saturday, 1:30 PM - 4:30 PM",20/65,Gleacher Center,208
Winter 2025,Application Development,36110,1,Full-Time MBA,Raghu Betina,"Thursday, 8:30 AM - 11:30 AM",28/30,Harper Center,C06
Winter 2025,Application Development,36110,81,Evening MBA,Raghu Betina,"Thursday, 6:00 PM - 9:00 PM",21/30,Gleacher Center,306
Spring 2025,Storytelling and Narratives in Business,42124,2,Master in Management,Guy Rolnik,"Friday, 1:30 PM - 4:30 PM",9/65,Gleacher Center,206
Spring 2025,Application Development,36110,1,Full-Time MBA,Raghu Betina,"Monday, 1:30 PM - 4:30 PM",30/30,Harper Center,C03
Spring 2025,Health Economics Literature Seminar,33920,50,PhD,Joshua Gottlieb,"Wednesday, 10:10 AM - 11:30 AM",3/20,Harper Center,3A
Spring 2025,Application Development II,36111,81,Evening MBA,Raghu Betina,"Wednesday, 6:00 PM - 9:00 PM",14/30,Gleacher Center,304
Autumn 2024,Managing the Workplace,33032,81,Evening MBA,Stacey Kole,"Tuesday, 6:00 PM - 9:00 PM",37/65,Gleacher Center,204
Winter 2025,Operations Management: Business Process Fundamentals,40000,85,Weekend MBA,Linwei Xin,"Saturday, 1:30 PM - 4:30 PM",25/65,Gleacher Center,204
Winter 2025,Corporation Finance,35200,1,Full-Time MBA,Pascal Noel,"Wednesday, 8:30 AM - 11:30 AM",51/65,Harper Center,C03
Winter 2025,Corporation Finance,35200,2,Full-Time MBA,Pascal Noel,"Wednesday, 1:30 PM - 4:30 PM",63/65,Harper Center,C03
Autumn 2024,New Products and Services,37200,1,Full-Time MBA,Arthur Middlebrooks,"Wednesday, 8:30 AM - 11:30 AM",54/55,Harper Center,C07
Autumn 2024,New Products and Services,37200,81,Evening MBA,Arthur Middlebrooks,"Wednesday, 6:00 PM - 9:00 PM",38/55,Gleacher Center,408
Autumn 2024,New Products and Services,37200,2,Full-Time MBA,Arthur Middlebrooks,"Thursday, 8:30 AM - 11:30 AM",43/55,Harper Center,C01
Spring 2025,The Wealth of Nations,33520,1,Full-Time MBA,Chang-Tai Hsieh,"Tuesday, 1:30 PM - 4:30 PM",61/65,Harper Center,C07
Spring 2025,The Wealth of Nations,33520,81,Evening MBA,Chang-Tai Hsieh,"Monday, 6:00 PM - 9:00 PM",15/65,Gleacher Center,304
Winter 2025,Applied Regression Analysis,41100,1,Full-Time MBA,Ekaterina (Katja) Smetanina,"Wednesday, 8:30 AM - 11:30 AM",26/65,Harper Center,C06
Winter 2025,Applied Regression Analysis,41100,81,Evening MBA,Ekaterina (Katja) Smetanina,"Monday, 6:00 PM - 9:00 PM",16/65,Gleacher Center,206
Spring 2025,Experimental Marketing,37107,1,Full-Time MBA,Oleg Urminsky,"Wednesday, 8:30 AM - 11:30 AM",11/38,Harper Center,3B
Spring 2025,Experimental Marketing,37107,81,Evening MBA,Oleg Urminsky,"Tuesday, 6:00 PM - 9:00 PM",14/65,Gleacher Center,306
Winter 2025,Behavioral Science Research Methods in Marketing,37907,50,PhD,Oleg Urminsky,"Friday, 9:00 AM - 12:00 PM",13/25,Harper Center,C10
Winter 2025,International Corporate Finance,35210,2,Full-Time MBA,Raghuram Rajan,"Thursday, 1:30 PM - 4:30 PM",53/65,Harper Center,C07
Winter 2025,Marketing Strategy,37000,3,Master in Management,Christopher Krohn,"Monday, 5:00 PM - 8:00 PM",22/65,Gleacher Center,204
Spring 2025,Innovation Leadership,34108,81,Evening MBA,James Janega,"Wednesday, 6:00 PM - 9:00 PM",39/40,Gleacher Center,408
Summer 2025,Applied Regression Analysis,41100,81,Evening MBA,Carlos Carvalho,"Friday, 6:00 PM - 9:00 PM",0/65,,
Winter 2025,Financial Markets in the Macroeconomy,33948,50,PhD,Veronica Guerrieri,"Thursday, 1:30 PM - 4:30 PM",8/22,Harper Center,C25
Spring 2025,Value Creation in Small Businesses,34211,81,Evening MBA,Dan Cremons and Alex Hodgkin,"Thursday, 6:00 PM - 9:00 PM",64/65,Gleacher Center,204
Spring 2025,Strategy and Structure: Markets and Organizations,39001,81,Evening MBA,Ningzi Li,"Wednesday, 6:00 PM - 9:00 PM",42/65,Gleacher Center,306
Autumn 2024,Strategy and Digital Disruption,42132,81,Evening MBA,Paul Mang,"Monday, 6:00 PM - 9:00 PM",17/65,Gleacher Center,404
Spring 2025,Crafting and Delivering Persuasive Narratives,38107,1,Full-Time MBA,Hal Weitzman,"Wednesday, 5:00 PM - 8:00 PM",36/36,Harper Center,C02
Autumn 2024,Managerial Decision Modeling,36106,5,Master in Management,Rad Niazadeh,"Friday, 1:30 PM - 4:30 PM",33/45,Gleacher Center,206
Winter 2025,Leadership Practicum,31402,1,Full-Time MBA,Chris Collins,"Thursday, 8:30 AM - 11:30 AM",21/40,Harper Center,219
Autumn 2024,Leadership Lab,31404,1,Full-Time MBA,Chris Collins,"Wednesday, 1:30 PM - 4:30 PM",20/30,Harper Center,219
Winter 2025,Leadership Lab,31404,81,Evening MBA,Betsy Sobiech,"Thursday, 6:00 PM - 9:00 PM",10/30,Gleacher Center,422
Spring 2025,Leadership Lab,31404,1,Full-Time MBA,Chris Collins,"Thursday, 8:30 AM - 11:30 AM",33/30,Harper Center,225
Spring 2025,Perspectives on Capitalism Seminar,33251,1,Full-Time MBA,Susana Vasquez,"Tuesday, 10:00 AM - 11:30 AM",12/12,Harper Center,223
Spring 2025,Perspectives on Capitalism Seminar,33251,2,Full-Time MBA,Susana Vasquez,"Tuesday, 1:30 PM - 3:00 PM",12/12,Harper Center,223
Spring 2025,Perspectives on Capitalism Seminar,33251,3,Full-Time MBA,Brian Barry,"Wednesday, 10:00 AM - 11:30 AM",12/12,Harper Center,223
Spring 2025,Perspectives on Capitalism Seminar,33251,4,Full-Time MBA,Brian Barry,"Thursday, 10:00 AM - 11:30 AM",12/12,Harper Center,223
Spring 2025,Perspectives on Capitalism Seminar,33251,5,Full-Time MBA,Brian Barry,"Thursday, 1:30 PM - 3:00 PM",11/12,Harper Center,223
Spring 2025,Perspectives on Capitalism Seminar,33251,6,Full-Time MBA,Robert Gertner,"Wednesday, 3:00 PM - 4:30 PM",12/12,Harper Center,223
Spring 2025,Perspectives on Capitalism Seminar,33251,7,Full-Time MBA,Robert Gertner,"Thursday, 10:00 AM - 11:30 AM",12/12,Harper Center,3SW
Spring 2025,Perspectives on Capitalism Seminar,33251,8,Full-Time MBA,Robert Gertner,"Thursday, 1:30 PM - 3:00 PM",12/12,Harper Center,207DNS
Spring 2025,Perspectives on Capitalism Seminar,33251,81,Evening MBA,Caroline Grossman,"Wednesday, 6:45 PM - 8:15 PM",12/12,Harper Center,219
Spring 2025,Perspectives on Capitalism Seminar,33251,82,Evening MBA,James Carmichael,"Monday, 6:00 PM - 7:30 PM",15/15,,
Spring 2025,Perspectives on Capitalism Seminar,33251,83,Evening MBA,James Carmichael,"Tuesday, 6:00 PM - 7:30 PM",15/15,,
Spring 2025,Perspectives on Capitalism Seminar,33251,84,Evening MBA,James Carmichael,"Thursday, 6:00 PM - 7:30 PM",15/15,,
Autumn 2024,Advanced New Venture Strategy Workshop,34220,85,Weekend MBA,James Schrager,"Saturday, 1:30 PM - 4:30 PM",39/40,,
Winter 2025,Data Analysis with Python and SQL,32120,1,Full-Time MBA,Lara Kattan,"Monday, 8:30 AM - 11:30 AM",33/35,Harper Center,C10
Winter 2025,Data Analysis with Python and SQL,32120,2,Full-Time MBA,Lara Kattan,"Monday, 1:30 PM - 4:30 PM",32/35,Harper Center,C06
Winter 2025,Data Analysis with Python and SQL,32120,81,Evening MBA,Lara Kattan,"Wednesday, 6:00 PM - 9:00 PM",35/35,,
Autumn 2024,Data Analysis with R and Python,32100,1,Full-Time MBA,Lara Kattan,"Wednesday, 5:00 PM - 8:00 PM",20/35,Harper Center,C06
Autumn 2024,Data Analysis with R and Python,32100,81,Evening MBA,Lara Kattan,"Thursday, 6:00 PM - 9:00 PM",29/35,Gleacher Center,406
Spring 2025,Platforms and Market Design,42135,1,Full-Time MBA,Eric Budish,"Monday, 1:30 PM - 4:30 PM",65/65,Harper Center,C02
Spring 2025,Platforms and Market Design,42135,81,Evening MBA,Eric Budish,"Monday, 6:00 PM - 9:00 PM",37/65,Gleacher Center,306
Autumn 2024,Culture (And Why It Matters),38126,1,Full-Time MBA,Thomas Talhelm,"Wednesday, 8:30 AM - 11:30 AM",63/65,Harper Center,C10
Spring 2025,Financing the Grid: Valuing Transmission & Storage Capacity,33320,81,Evening MBA,John Birge and David K.A. Mordecai and Kevin Murphy,"Tuesday, 6:00 PM - 9:00 PM",29/65,Gleacher Center,200
Autumn 2024,Strategies and Processes of Negotiation,38103,1,Full-Time MBA,Joshua Dean,"Thursday, 8:30 AM - 11:30 AM",55/55,Harper Center,C08
Autumn 2024,Strategies and Processes of Negotiation,38103,2,Full-Time MBA,Joshua Dean,"Thursday, 1:30 PM - 4:30 PM",55/55,Harper Center,C08
Spring 2025,Strategies and Processes of Negotiation,38103,4,Full-Time MBA,John Burrows,"Wednesday, 8:30 AM - 11:30 AM",55/55,Harper Center,C02
Spring 2025,The FinTech Revolution,35123,1,Full-Time MBA,Luigi Zingales,"Tuesday, 8:30 AM - 11:30 AM",63/65,Harper Center,C07
Spring 2025,The FinTech Revolution,35123,81,Evening MBA,Luigi Zingales,"Tuesday, 6:00 PM - 9:00 PM",49/65,Gleacher Center,404
Spring 2025,Crony Capitalism,35225,1,Full-Time MBA,Luigi Zingales,"Wednesday, 8:30 AM - 11:30 AM",33/33,Harper Center,C07
Spring 2025,Health-Tech Strategy,42310,1,Full-Time MBA,Dipul Patadia,"Wednesday, 1:30 PM - 4:30 PM",64/65,Harper Center,C07
Autumn 2024,The Business of Pharmaceuticals,33351,81,Evening MBA,Ream Qato,"Thursday, 6:00 PM - 9:00 PM",55/65,Gleacher Center,204
Spring 2025,Operations Management: Business Process Fundamentals,40000,1,Full-Time MBA,Yuan Zhong,"Tuesday, 1:30 PM - 4:30 PM",63/65,Harper Center,C08
Spring 2025,Operations Management: Business Process Fundamentals,40000,2,Full-Time MBA,Yuan Zhong,"Wednesday, 8:30 AM - 11:30 AM",36/65,Harper Center,C08
Summer 2025,Business Statistics,41000,81,Evening MBA,Robert McCulloch,"Tuesday, 6:00 PM - 9:00 PM",0/65,,
Winter 2025,Designing a Good Life,38119,2,Full-Time MBA,Nicholas Epley,"Wednesday, 5:00 PM - 8:00 PM",65/65,Harper Center,C10
Summer 2025,Internal Information for Strategic Decisions,30005,81,Evening MBA,J. Hanna,"Tuesday, 6:00 PM - 9:00 PM",0/65,Gleacher Center,308
Winter 2025,Corporate Social Responsibility (CSR) Social Impact Practicum,42708,1,Full-Time MBA,Caroline Grossman,"Monday, 3:00 PM - 6:00 PM",17/20,Harper Center,C01
Summer 2025,Strategies and Processes of Negotiation,38103,85,Weekend MBA,John Burrows,"Saturday, 9:00 AM - 12:00 PM",0/65,Gleacher Center,408
Summer 2025,Persuasion: Effective Business Communication,38101,81,Evening MBA,Hal Weitzman,"Monday, 6:00 PM - 9:00 PM",0/36,Gleacher Center,406
